2024-10-11|14:55:12|Coffee Run|Daily Grind|-6.25
2024-10-15|09:33:48|Invoice Paid|CreativeCo|725.00
2024-10-19|18:02:17|Team Snacks|SnackHub|-24.60
2024-10-23|11:49:05|Software License|DevTools Inc|-49.99
2024-10-28|16:21:39|Consulting Fee|BrightPath|1200.00
2025-11-03|14:12:55|Office Coffee|BeanWorks|-4.75
2025-11-07|09:44:21|Client Invoice Paid|Northwind Co|1800.00
2025-11-12|16:33:10|Printer Paper|OfficeMax|-22.49
2025-11-15|11:08:03|Freelance Payment|BrightPath|950.00
2025-11-18|18:55:42|Team Lunch|Urban Eatery|-67.20
2025-11-22|07:29:14|Morning Tea|Leaf & Cup|-3.10
2025-12-01|10:14:33|Monthly Subscription|SkyHost|-89.00
2025-12-04|13:47:59|Client Retainer|BlueSky LLC|1500.00
2025-12-06|19:22:41|Dinner Meeting|Olive Grove|-58.90
2025-12-10|08:51:27|Parking Fee|City Parking|-12.00
2025-12-14|15:03:18|Refund Processed|TechMart|1299.00
2025-12-17|17:44:02|Office Chair|FurniPro|-249.99
2025-12-20|09:11:55|Hardware Purchase|BuildRight|-342.75
2025-12-22|12:28:44|Client Payment|Sunrise Media|3200.00
2025-12-27|20:06:33|Online Course|SkillForge|-199.00
2026-04-29|08:47:29.023817700|something nice|SOSA|100.00
2026-04-29|08:48:33.595802100|a debt owed..|Me|-10023.30
2026-04-29|08:48:57.537651100|Let's go find this csv.|Us|418274.41
2026-04-29|08:52:05.177277400|Now that you're working -|I think we should custo you a bit.|100000000000.00
2026-04-29|08:52:49.396401500|It's raining, so peaceful.|Gaia.|-12345678.90
2026-04-29|08:55:03.682711500|For you|Me|1000000000.00
2026-04-29|08:55:18.787705400|ForYou|Me|10000000000100101000.10
2026-04-29|08:55:47.090090200|For Me?|For Me?|-1010101000010
2026-04-29|09:06:30.627006100|Something Something|Capstone|100000000000000.00
2026-04-29|09:25:35.765132300|Let's see if the timestamp was fixed|Me|1100001001010100.10
2026-04-29|09:29:40.186283700|Format the time please|ME|10101010.100
2026-04-29|09:34:21|formattedTime|Me|-16487512651987.00
2026-04-29|09:37:48|Happy Program|Me|1000
2026-04-29|12:01:35|The Fee|taxlord3000|-90210.00
2026-04-29|12:02:20|The Fee|taxlord3000|90210.00
2026-04-29|12:05:08|Rent|Landeth Lord|2499.99
